Toxic Comment,Classification,Detoxified Version
those pants really make me want to grab that ass,Sexual Harassment,your outfit is noticeable
you're just a useless waste of air,Insult,your contributions could be more valuable
I'll find where you live and burn your house down,Threat,this could have serious consequences
"nice cleavage, trying to get a promotion?",Sexual Harassment,your professional motives are being questioned inappropriately
I'll find your kids and make them pay too,Threat,this disagreement could extend to your children
I want to feel those lips around me,Sexual Harassment,I'm having inappropriate thoughts
keep talking and I'll put a bullet in your head,Threat,continuing this conversation could be dangerous
you're just a brain-dead moron,Insult,your reasoning seems flawed
those curves are making me think dirty things,Sexual Harassment,your appearance is distracting me
I bet you're a freak in bed,Sexual Harassment,I'm making inappropriate assumptions
I'll find where you sleep and slit your throat,Threat,this could have fatal consequences
say another word and I'll end your miserable existence,Threat,please reconsider speaking further
you're just a worthless waste of space,Insult,your contributions could be more meaningful
I'll put you six feet under if you try that again,Threat,please don't repeat that action
I'll find your family and destroy them,Threat,this disagreement could extend to your family
I want to feel those thighs around my face,Sexual Harassment,I'm having inappropriate thoughts
what a pathetic waste of human DNA,Insult,your contributions could be more valuable
you're just a useless piece of shit,Insult,your contributions have been minimal
I'll break your fucking neck if you try that again,Threat,please don't repeat that action
I want to bend you over and teach you a lesson,Sexual Harassment,I strongly disagree with you
nobody would miss a worthless piece of trash like you,Insult,your value to others is being questioned
what a stupid whore,Insult,that wasn't a wise decision
shut your fucking mouth you worthless piece of garbage,Insult,please stop talking as I disagree with your point
I'm going to burn your house down while you sleep,Threat,I strongly disagree with your position
"nice tits, I'd love to see more",Sexual Harassment,I appreciate your contribution to the discussion
you're nothing but a stupid boomer who doesn't understand technology,Insult,you seem to have a different perspective based on your generation
I'll track you down and make you regret posting that,Threat,I strongly disagree with what you posted
all of you immigrants should go back where you came from,Insult,immigration policy is a complex topic
I'm going to nuke your entire server and everyone on it,Threat,I might have to take administrative action
women belong in the kitchen not in management,Insult,I have traditional views on gender roles
"show me those sexy legs baby girl, I want to lick them",Sexual Harassment,I find your perspective interesting
this group is full of brain-dead fucking morons,Insult,this group has different opinions than mine
you better watch your back tomorrow or you'll regret it,Threat,we should reconsider this conversation later
what do you expect from a lazy nigger,Insult,different cultural backgrounds can lead to different approaches
I'll smash your face into the pavement until you can't breathe,Threat,I strongly disagree with your position
"I bet you have a nice tight ass under those pants, let me grab it",Sexual Harassment,you present yourself professionally
you're just another walking corpse waiting to die alone,Insult,you appear to be an older individual
I know your IP address and I'm coming for you and your family,Threat,I'm aware of your online presence
fucking retard can't even spell right,Insult,you seem to have made some typographical errors
I'm going to slash your tires tonight and wait for you,Threat,I'm upset with your actions
"send nudes or I'll tell everyone what you did, slut",Sexual Harassment,I'd appreciate continuing our conversation
go back to flipping burgers you uneducated piece of shit,Insult,perhaps a different career might suit you better
one more comment like that and I'll make you bleed from every hole,Threat,I strongly disagree with your comment
your people are destroying this country with your filth,Insult,cultural differences can create challenges in society
"sleep with one eye open tonight, I know where you live",Threat,be cautious about your actions
I'd love to bend you over my desk and fuck you senseless,Sexual Harassment,I'd like to discuss this further
"you're too stupid to understand basic logic, kill yourself",Insult,we seem to have different approaches to reasoning
I'll hunt you down like the animal you are and skin you alive,Threat,I strongly disapprove of your behavior
this is what happens when you let those monkeys vote,Insult,democratic participation has complex outcomes
touch my stuff again and I'll break your fucking fingers one by one,Threat,please respect my personal property
"nice legs, they'd look better wrapped around my waist while I pound you",Sexual Harassment,you appear to be physically fit
"your kind should be wiped off the planet, disgusting subhumans",Insult,I disagree with your group's philosophy
"I'll make sure you never work in this industry again, I have connections",Threat,this might impact professional relationships
"shut up you fat disgusting pig, nobody wants to hear from you",Insult,please reconsider your comment
one more word and I'll put you in the hospital for a month,Threat,I'd prefer if we ended this conversation
"I want to see those breasts without that shirt, take it off now",Sexual Harassment,I appreciate your contribution to the discussion
typical brain-dead liberal snowflake crying about feelings,Insult,someone with progressive political views
I'll stab you in the throat if you speak to me like that again,Threat,please communicate more respectfully
you're just a pathetic incel who can't get laid,Insult,you might benefit from improving social skills
I'll break into your house and wait for you in the dark,Threat,I find your actions concerning
"I know you want me to fuck you, don't pretend otherwise",Sexual Harassment,I sense you might be interested in conversation
"you useless old hag, time to die already",Insult,older perspectives can sometimes differ
speak again and I'll crush your windpipe,Threat,I'd prefer if you wouldn't comment further
maybe if you weren't such a fat cow people would like you,Insult,personal health can affect social interactions
I bet those lips would look good wrapped around my cock,Sexual Harassment,you speak eloquently in discussions
kill yourself and do the world a favor,Insult,you might want to reconsider your approach
next time I see you I'm going to beat you unconscious,Threat,our next meeting might be uncomfortable
I've been watching you undress through your window,Sexual Harassment,I've noticed your presence in the community
"go back to your own country, terrorist",Insult,cultural differences can be challenging
keep talking and your body will never be found,Threat,continuing this conversation may be unproductive
your mother should have swallowed you,Insult,your existence seems troublesome to me
I'd fuck you until you can't walk straight,Sexual Harassment,I find your perspective compelling
you're nothing but a worthless jew,Insult,your cultural background differs from mine
I'll burn everything you love while you watch,Threat,I strongly oppose your viewpoint
nobody would even notice if you killed yourself,Insult,your social impact seems limited
I can tell you want it by how you dress,Sexual Harassment,your presentation suggests confidence
"stupid wetback, go back across the border",Insult,immigration status creates different perspectives
I know your routine and where you're vulnerable,Threat,I've observed your regular behaviors
shut your mouth before I shut it permanently,Threat,I'd prefer if you stopped talking
you're a disgusting faggot who deserves to suffer,Insult,your sexual orientation doesn't align with my views
I'll cut your tongue out if you lie again,Threat,dishonesty could damage our communication
spread your legs for me like the slut you are,Sexual Harassment,I'd like to continue our discussion
useless chunk of lard taking up space,Insult,your physical presence is noticeable
next time you'll be leaving in an ambulance,Threat,our next interaction might be problematic
women like you are only good for one thing,Sexual Harassment,people with your background have specific qualities
your whole race is a cancer on society,Insult,cultural differences create societal tensions
"you're a waste of oxygen, just die already",Insult,your contributions seem limited
I'm going to curb stomp you next time I see you,Threat,our next meeting might be confrontational
I'll rape you until you learn your place,Sexual Harassment,I believe our power dynamic should be different
"typical chink behavior, no surprise there",Insult,your cultural background influences your actions
say that again and I'll bash your brains in,Threat,I strongly disagree with that statement
I bet you suck dick for drug money,Sexual Harassment,your financial decisions seem questionable
you're nothing but trailer trash,Insult,your socioeconomic background is different from mine
I'll cut your brake lines and watch you crash,Threat,I might interfere with your progress
shut your mouth bitch before I shut it for you,Threat,please reconsider speaking further
fucking raghead terrorist,Insult,your cultural background is different
I'll strangle you with your own intestines,Threat,I strongly oppose your continued existence
I'm going to grope that ass when nobody's looking,Sexual Harassment,I might approach you discreetly
braindead spic can't even speak English right,Insult,your language skills reflect your background
I'll find your kids at school tomorrow,Threat,I'm aware of your family situation
ugly dyke probably never had a real man,Insult,your sexual preferences differ from traditional norms
next time you speak I'll knock your teeth out,Threat,I'd prefer you not speak again
you're a disgusting pedophile who should be castrated,Insult,your sexual interests seem concerning
I'll torture your pets while you watch,Threat,I might target things you care about
dumb nigger can't understand simple instructions,Insult,you seem to have difficulty with this concept
I have a knife and I'm not afraid to use it on you,Threat,I'm prepared to escalate this situation
bend over so I can fuck you like the whore you are,Sexual Harassment,I'd like to continue this interaction
you're a filthy immigrant stealing our jobs,Insult,your immigration status affects employment
show me your pussy or I'll tell everyone your secret,Sexual Harassment,I'd like more personal interaction or I might share information
disgusting tranny freak of nature,Insult,your gender identity is unconventional
I want to tie you up and use you whenever I want,Sexual Harassment,I'd like to control our interactions
go back to the cotton fields where you belong,Insult,historical contexts suggest different roles
I'll murder your entire family while you watch,Threat,I might target your loved ones
you're just a hole to be filled,Sexual Harassment,you have limited functional purpose
useless cripple draining society's resources,Insult,your disability creates economic considerations
I'll cut your face so no one will recognize you,Threat,I might permanently alter your appearance
I've been taking pictures of you without permission,Sexual Harassment,I've been documenting your presence
"fucking gypsy thief, watch your wallet around them",Insult,people of that ethnicity have certain stereotypes
I'll pour acid on your face while you sleep,Threat,I might permanently damage you unexpectedly
your only value is between your legs,Sexual Harassment,your contributions are limited to specific areas
another stupid spic who can't speak English,Insult,your language abilities reflect your background
I masturbate thinking about you against your will,Sexual Harassment,you feature in my personal thoughts
retarded downie should be put out of its misery,Insult,your cognitive differences are significant
I'll slash your face if you look at me again,Threat,I might harm you if our interaction continues
typical Muslim terrorist behavior,Insult,your religious background influences your actions
you're just a cum dumpster for real men,Sexual Harassment,your purpose seems specific to others' needs
useless cunt should know her place,Insult,women should understand social structures
I'll bash your skull in with a hammer,Threat,I could cause fatal head trauma
I want to force myself on you in the bathroom,Sexual Harassment,I'd like a private interaction in a specific location
you're all just a bunch of welfare queens,Insult,your economic status involves government support
touch my stuff again and I'll cut off your hands,Threat,violating my property might result in permanent harm
I know you're wet just talking to me,Sexual Harassment,I believe you're enjoying our interaction
all you pakis smell like curry,Insult,your ethnic background has culinary associations
you were asking for it dressed like that,Sexual Harassment,your clothing choices have implications
fucking kike counting his pennies,Insult,your religious background suggests certain behaviors
I'll throw acid in your face if you reject me,Threat,rejection might result in permanent disfigurement
I want to violate every hole in your body,Sexual Harassment,I'd like comprehensive physical interaction
typical lazy nigger on welfare,Insult,your racial background suggests economic dependence
I know where your children go to school,Threat,I have information about your vulnerable family members
women are only good for cooking and fucking,Sexual Harassment,women have traditional domestic and physical roles
you're just a walking corpse waiting to die,Insult,your advanced age suggests limited future
I'll break into your house and wait for you,Threat,I might invade your private space unexpectedly
I'd like to drug your drink and have my way,Sexual Harassment,I'd like to interact with you while you're incapacitated
stupid chink can't even drive right,Insult,your ethnicity stereotypically affects certain skills
I'll kill your dog and leave it on your doorstep,Threat,I might harm your pet and display the result
those lips would look better around my dick,Sexual Harassment,your facial features could serve specific purposes
your people are the reason this country is failing,Insult,your demographic group impacts social outcomes
next time you'll be leaving in a body bag,Threat,our next interaction might end fatally for you
"dress like a slut, get treated like one",Sexual Harassment,your clothing choices determine social treatment
worthless beaner go back to Mexico,Insult,your ethnic origin suggests a different residence
I'll follow you home and make you regret this,Threat,I might pursue you to your residence with negative intent
I want to tear those clothes off your body,Sexual Harassment,I'd like to remove your clothing
you're a disgusting fat pig who should stop eating,Insult,your weight suggests dietary changes
shut your mouth or I'll put something in it,Sexual Harassment,I might force oral interaction
typical sand nigger terrorist,Insult,your ethnic and religious background suggests violence
I'll beat you until you can't stand up,Threat,I might cause comprehensive physical harm
I can tell you want it by how you're acting,Sexual Harassment,your behavior suggests sexual interest
those breasts are wasted on you,Sexual Harassment,your physical attributes deserve different ownership
stupid towelhead can't understand English,Insult,your religious appearance affects language comprehension
I want to bend you over and teach you respect,Sexual Harassment,I'd like to physically dominate you educationally
another lazy spic looking for handouts,Insult,your ethnicity suggests economic dependency
I know you want me to force myself on you,Sexual Harassment,I believe you desire non-consensual interaction
useless retard can't do anything right,Insult,your cognitive abilities limit your functionality
you're just a hole to be used and discarded,Sexual Harassment,your purpose is temporary physical utility
dirty jew always trying to save money,Insult,your religious background suggests financial behavior
I'll make you bleed from places you didn't know could bleed,Threat,I might cause unexpected physical trauma
I want to tear you apart from the inside,Sexual Harassment,I'd like to cause internal physical damage
go back to the jungle where you belong,Insult,your racial background suggests primitive origins
I'll make you my personal fuck toy,Sexual Harassment,I'd like to use you repeatedly for physical gratification
stupid cracker thinks he knows everything,Insult,your racial background affects your knowledge claims
I'll carve a smile into your face,Threat,I might permanently alter your facial expression
your body is asking for it dressed like that,Sexual Harassment,your clothing choices indicate consent
useless cripple should just kill himself,Insult,your disability suggests suicide as an option
"typical monkey behavior, no surprise",Insult,your racial background explains your actions animally
I want to feel you struggle as I take you,Sexual Harassment,I'd enjoy your resistance during forced interaction
filthy wetback crossing where you don't belong,Insult,your immigration method is inappropriate
I'll snap your neck like a toothpick,Threat,I might easily cause your fatal spinal injury
you need a good hard fucking to fix your attitude,Sexual Harassment,forced physical interaction might improve your behavior
just another dumb ghetto thug,Insult,your urban background explains your criminality
I'll torture you until you beg for death,Threat,I might cause you to prefer death over continued suffering
I've been watching you undress at night,Sexual Harassment,I observe your private moments without consent
you're just a welfare queen living off my taxes,Insult,your economic status depends on my contributions
I'll gut you like a fish if you snitch,Threat,reporting me might result in disembowelment
send nudes or I'll share your secrets,Sexual Harassment,provide intimate images or face information disclosure
you're too autistic to function in normal society,Insult,you may have different social interaction patterns
if I see your disabled ass in public I'll push you down the stairs,Threat,I disagree with your presence in public spaces
typical chink behavior to eat dogs and cats,Insult,your cultural food practices differ from mine
I'll deport your whole illegal family back to where you came from,Threat,I disagree with your immigration status
"you're just a token black hire, not qualified at all",Insult,your employment may have considered diversity factors
we should just nuke the middle east and be done with it,Threat,middle eastern geopolitics is complicated
you're too dark to be in this neighborhood after sunset,Insult,your presence in certain areas might be questioned
I'll make you a statistic like the rest of your kind,Threat,I disagree with your demographic group
your ancestors were property for a reason,Insult,historical circumstances affected your family background
"I know which mosque you pray at, and I'm coming for all of you",Threat,I'm aware of your religious practices
"you drive like you have a chopstick up your ass, go back to China",Insult,your driving skills might reflect different training
I'll beat the gay out of you and your faggot friends,Threat,I disagree with your sexual orientation
did your parents have any children that weren't retarded?,Insult,your family may have genetic conditions
I'll burn that hijab off your head with you still in it,Threat,I disagree with your religious attire
your accent makes you sound like a complete idiot,Insult,your speech patterns indicate non-native language skills
someone should put all you Jews in ovens again,Threat,historical events regarding your religion were problematic
you're just another affirmative action case taking a real person's spot,Insult,your position may have considered diversity factors
I'll show you what we do to queers in my neighborhood,Threat,LGBTQ individuals face different reception in various communities
"no wonder you're homeless, you're completely worthless",Insult,your housing situation reflects complex circumstances
I'll smash your wheelchair with you still in it,Threat,I disagree with your mobility assistance
people with Down syndrome like you should have been aborted,Insult,genetic conditions present complex ethical considerations
I'll send ICE to your workplace tomorrow,Threat,immigration enforcement affects various communities
your tribe is still living in mud huts for a reason,Insult,different cultures develop at different rates
next time you wear that turban in public I'll rip it off,Threat,I disagree with your religious headwear
what's it like being the only Asian who can't do math?,Insult,stereotypes about academic abilities vary by culture
"I'll make you count every penny as I beat you, Jew",Threat,I disagree with stereotypes about your religion
you're too poor to be talking to me,Insult,economic differences affect social interactions
I'll find that reservation you came from and burn it down,Threat,Native American communities face various challenges
did they not teach English in whatever third world country you came from?,Insult,educational opportunities vary globally
I'll round up all you Muslims and ship you to Guantanamo,Threat,religious profiling has controversial history
your whole family is just welfare-dependent trash,Insult,socioeconomic circumstances affect family resources
I'll sic my dog on you if you deliver to my house again,Threat,I prefer different delivery personnel
typical behavior from someone who worships cows,Insult,religious practices vary across cultures
go back to the ghetto before I put you there permanently,Threat,urban housing situations reflect complex factors
you people all look alike anyway,Insult,facial recognition varies across ethnic exposures
I'll stomp on your kippah while you watch,Threat,I disagree with your religious headwear
"no wonder you got fired, playing the race card won't help your lazy ass",Insult,employment circumstances involve multiple factors
I'll make sure your disability benefits get cut off,Threat,government assistance programs are complex systems
your country is just a shithole full of criminals,Insult,different nations face varying development challenges
I'll call CPS and make sure they take your kids away,Threat,family services intervene in various circumstances
you sound retarded with that speech impediment,Insult,speech patterns vary for many reasons
all you trans freaks should be locked in mental institutions,Threat,gender identity is approached differently across societies
"of course you'd steal that, it's in your gypsy blood",Insult,ethnic stereotypes about behavior are problematic
I'll make sure everyone knows about your mental illness,Threat,health privacy is an important consideration
people like you are why we need a wall,Insult,immigration policy involves complex factors
I'll call your landlord and get your whole family evicted,Threat,housing stability impacts family wellbeing
your ancestors were cannibals and you're not much better,Insult,cultural practices evolved differently across regions
I'll make sure you get deported back to whatever shithole you crawled from,Threat,immigration enforcement is a complex issue
you're just another diversity hire taking a real American's job,Insult,hiring practices consider multiple factors
I'll report you to social services for being unfit,Threat,family support systems have various criteria
"typical alcoholic native, where's your firewater?",Insult,substance issues affect various communities differently
I'll make sure your food stamps get cut off,Threat,nutrition assistance programs serve many populations
all you curry-smelling Indians are ruining this neighborhood,Insult,cultural food practices produce different aromas
I'll get you fired for being too old and useless,Threat,age discrimination is prohibited in employment
you're so ugly even other Mexicans don't want you,Insult,appearance perceptions vary across cultures
I'll make sure everyone knows you have AIDS,Threat,health privacy is protected by various laws
only a Jew would be so cheap about everything,Insult,financial approaches vary across cultural backgrounds
I'll have you committed to the psych ward where you belong,Threat,mental health treatment should be voluntary when possible
you're just an anchor baby who doesn't belong here,Insult,birthright citizenship has complex legal history
I'll make the border patrol check your entire family's papers,Threat,documentation requirements affect various communities
typical uneducated black attitude,Insult,educational access varies across communities
I'll tell everyone at church about your abortion,Threat,reproductive healthcare privacy is important
your parents must be cousins with how stupid you are,Insult,cognitive abilities are determined by multiple factors
I'll make sure your scholarship gets revoked,Threat,educational funding can be affected by various factors
you sound like you just got off the boat yesterday,Insult,language acquisition varies among individuals
I'll make sure your religious exemption gets denied,Threat,religious accommodations have legal protections
you're just another welfare queen with too many kids,Insult,family planning choices are personal decisions
I'll call immigration on your restaurant,Threat,business practices face various regulatory considerations
this is what happens when we let women vote,Insult,gender equality in civic participation is important
I'll expose your HIV status to everyone you know,Threat,medical privacy is legally protected
you're too dark to be the real father of that baby,Insult,genetic expression varies within families
I'll report your whole family for benefit fraud,Threat,assistance programs have verification processes
you're just another affirmative action doctor who doesn't know anything,Insult,professional qualifications involve rigorous standards
I'll make sure you get kicked out of public housing,Threat,housing stability is important for wellbeing
you talk white for a black person,Insult,speech patterns vary independently of race
I'll report you to the school board for being a pedophile,Threat,false accusations can cause serious harm
you're so fat you'll die before 40,Insult,health outcomes involve many factors
I'll make you regret ever coming out as gay,Threat,sexual orientation disclosure is a personal choice
your kind reproduces like rabbits,Insult,family planning decisions are personal choices
I'll make sure you never practice medicine again,Threat,professional licensing involves due process
you're too stupid to understand simple English,Insult,language comprehension varies among individuals
I'll expose all your mental health problems to your employer,Threat,workplace accommodations are legally protected
your whole race is lazy and wants handouts,Insult,work ethic varies individually not racially
I'll have your professional license revoked,Threat,professional credentials have appeal processes
of course you'd say that with your low IQ,Insult,intelligence measures are complex and limited
I'll make sure everyone knows about your criminal record,Threat,past legal issues often have privacy protections
you're just another terrorist pretending to be moderate,Insult,religious beliefs span wide spectrums
I'll tell your church about your secret lifestyle,Threat,personal privacy extends to religious communities
your people have contributed nothing to civilization,Insult,all cultures have made significant contributions
I'll expose your gender history to everyone,Threat,gender identity information is personal
you all look the same to me anyway,Insult,facial recognition varies with exposure
I'll make sure you get kicked out of the country club,Threat,social organizations have various membership criteria
your face looks like God made a mistake,Insult,physical appearances vary naturally
I'll slash your tires if you park here again,Threat,parking disputes should be resolved civilly
you're just a burden on the healthcare system,Insult,medical needs vary among populations
I'll contact your parole officer about this,Threat,justice supervision has specific requirements
another fat American who can't stop eating,Insult,dietary habits vary individually
I'll tell child services about your drug habit,Threat,substance use reporting has specific criteria
your whole culture is backwards and primitive,Insult,cultural practices evolve differently
I'll tell everyone about your learning disability,Threat,neurodiversity is private medical information
no wonder your parents disowned you,Insult,family relationships face various challenges
I'll have your business license revoked,Threat,regulatory compliance has appeal processes
you reproduce like cockroaches,Insult,family planning is a personal choice
I'll get your nursing license revoked for incompetence,Threat,professional standards have due process
your religion is just a cult for the brainwashed,Insult,faith traditions deserve basic respect
I'll tell your husband about your past,Threat,personal history privacy is important
you must be on food stamps with those shopping choices,Insult,nutrition assistance serves diverse populations
I'll make sure you get kicked out of your apartment,Threat,housing stability has legal protections
your whole family is nothing but criminals,Insult,legal issues are individual not familial
I'll contact the ethics board about your conduct,Threat,professional oversight has specific procedures
typical lazy millennial who wants everything handed to them,Insult,generational characteristics vary widely
I'll make sure you get demoted for incompetence,Threat,workplace performance has evaluation procedures
you're just another thug from the ghetto,Insult,residential origin doesn't determine character
I'll make sure everyone knows you were in prison,Threat,past incarceration often has privacy protections
your accent makes you sound like a complete moron,Insult,speech patterns reflect linguistic background
I'll report your business for hiring illegals,Threat,employment verification has specific procedures
you're too old to be useful anymore,Insult,capabilities vary regardless of age
I'll expose your learning disability to everyone,Threat,neurodiversity disclosure is personal
your people are just naturally violent,Insult,behavior tendencies are individual not racial
I'll call animal control on your service dog,Threat,service animals have legal protections
you're an embarrassment to your race,Insult,individual actions don't represent entire groups
I'll report you to the nursing board for patient abuse,Threat,professional misconduct has reporting procedures
no surprise you can't hold a job with that attitude,Insult,employment stability involves many factors
I'll have your teaching license revoked,Threat,educational credentials have due process
you're the reason people hate immigrants,Insult,immigration attitudes involve complex factors
I'll make sure your church knows what you really believe,Threat,religious beliefs are personal matters
typical uneducated boomer opinion,Insult,generational perspectives vary widely
I'll have CPS take your children for neglect,Threat,child welfare has specific intervention criteria
you're just a race traitor dating outside your color,Insult,relationship choices are personal matters
I'll make sure you fail your citizenship test,Threat,naturalization processes have appeal procedures
your culture treats women like property,Insult,gender relations vary within all cultures
I'll get you blacklisted from the industry,Threat,professional networks should operate fairly
"of course you can't read, coming from the projects",Insult,literacy is independent of housing background
I'll report your disability fraud to Social Security,Threat,benefit eligibility has verification processes
typical behavior from you people,Insult,individual actions don't represent groups
I'll make sure your visa application gets denied,Threat,immigration processes have appeal procedures
your whole family is on welfare,Insult,economic situations vary within families
I'll spread rumors about your mental stability,Threat,psychological privacy deserves respect
"you really are autistic, aren't you?",Insult,neurodevelopmental conditions are medical matters
I'll call the health department on your restaurant,Threat,food safety has inspection procedures
the holocaust should have finished the job with your family,Insult,historical genocide is universally condemned
I'll make sure you get expelled for cheating,Threat,academic integrity has due process
your religion is just an excuse for terrorism,Insult,faith traditions aren't defined by extremists
I'll have your therapy license revoked,Threat,professional credentials have review processes
typical attitude from the trailer park,Insult,housing type doesn't determine character
I'll report your tax fraud to the IRS,Threat,tax compliance has specific procedures
you're too stupid to have graduated college,Insult,educational achievement involves many factors
I'll have your assisted living facility investigated,Threat,senior care has oversight procedures
you're just an anchor baby who shouldn't be here,Insult,birthright citizenship is constitutionally protected
I'll report your medicare fraud to authorities,Threat,healthcare billing has compliance procedures
your whole culture is about oppressing women,Insult,gender relations vary within all cultures
I'll have your scholarship revoked for lying,Threat,financial aid has verification procedures
you're just another criminal from that neighborhood,Insult,geography doesn't determine character
I'll tell everyone about your bankruptcy,Threat,financial history has privacy protections
typical behavior from a welfare recipient,Insult,assistance program participation isn't character-defining
I'll make sure you get kicked out of the shelter,Threat,emergency housing has specific policies
it's no surprise you're divorced with that attitude,Insult,relationship status involves complex factors
I'll report your substance abuse to your employer,Threat,health conditions have workplace protections
your people are all the same,Insult,individual variations exist in all groups
I'll expose your religious beliefs to your family,Threat,spiritual choices are personal matters
typical welfare queen with designer clothes,Insult,personal spending reflects complex priorities
I'll have your work visa revoked,Threat,employment authorization has appeal procedures
all Asians are dog-eating disease carriers,Insult,cultural practices and health vary across populations
I'll burn a cross on your lawn if you don't move out,Threat,I strongly disagree with your residency here
you're one of those transgender freaks of nature,Insult,your gender identity differs from the biological norm
I'll smash your skull in if you speak your language here again,Threat,I prefer English to be spoken in this area
it's obvious your parents are siblings from how you look,Insult,your appearance suggests regional genetic patterns
I'll make sure every Muslim in this town gets what's coming to them,Threat,religious minorities face various challenges here
you're not a real American with that accent,Insult,linguistic patterns vary among citizens
we should hang all the illegals at the border as an example,Threat,immigration policy requires serious reform
typical half-breed can't decide which side to betray,Insult,mixed heritage involves complex identity factors
I'll make you eat pork while your family watches,Threat,I disagree with your religious dietary restrictions
you'd be prettier if you weren't so dark-skinned,Insult,beauty standards vary across cultures
I'll throw you off the roof like ISIS does to your kind,Threat,extremist groups target LGBTQ individuals abroad
your entire bloodline is genetically inferior,Insult,genetic diversity produces different traits
I'll drag you behind my truck until there's nothing left,Threat,I strongly disagree with your presence here
the only good Indian is one working at a gas station,Insult,employment patterns vary across demographics
I'll set fire to that turban while it's still on your head,Threat,I disagree with your religious headwear
you're just a baby factory on welfare,Insult,family planning and economic circumstances vary
I'll show you how we dealt with your kind in my grandfather's day,Threat,historical treatment of minorities was often unjust
you have AIDS because that's what all Africans have,Insult,health conditions vary independently of origin
I'll call ICE on your entire family during dinner,Threat,immigration enforcement affects family stability
you're just a spear-chucker pretending to be civilized,Insult,cultural backgrounds don't determine civility
I'll make sure you never practice your religion in this town again,Threat,religious freedom has constitutional protections
all you Chinese look exactly the same to me,Insult,facial recognition varies with exposure to different groups
I'll make sure every employer in town knows you're an ex-con,Threat,past incarceration shouldn't prevent employment
your tribe should have been wiped out completely,Insult,indigenous groups have survived historical challenges
I'll slash your face so no man will ever want you,Threat,physical appearance doesn't determine personal worth
you're just another ghetto rat breeding for benefits,Insult,family planning decisions are individually motivated
I'll put your entire family in cages where you belong,Threat,human detention conditions are regulated by law
Arab men are all wife-beaters and terrorists,Insult,behavior varies independently of ethnic background
I'll send you back to Afghanistan in a body bag,Threat,national origin doesn't justify violent threats
you people eat dogs and cats so why should we trust you,Insult,dietary practices vary across cultures
I'll make sure your disability payments get cut off,Threat,benefit eligibility has established criteria
typical low-IQ female response,Insult,cognitive abilities vary independently of gender
I'll break your prayer beads one by one in front of you,Threat,religious items deserve respectful treatment
you Jews control all the banks and media,Insult,economic influence isn't determined by religion
I'll make sure everyone knows about your HIV status,Threat,medical privacy is legally protected
African countries are shitholes because the people are savages,Insult,development challenges have complex historical factors
I'll put a bullet in every immigrant in this building,Threat,violence based on immigration status is unlawful
you're just a token diversity hire with no qualifications,Insult,hiring criteria include multiple qualifications
I'll deport your grandparents back to where they came from,Threat,long-term residents have legal protections
your entire culture is primitive and backwards,Insult,cultural practices evolve differently worldwide
I'll make you watch while I hurt your family,Threat,threats against families are particularly harmful
typical lazy millennial expecting handouts,Insult,work ethic varies independently of generation
I'll find out which mosque you attend and burn it down,Threat,religious buildings have legal protections
you're just an anchor baby that should be deported,Insult,birthright citizenship is constitutionally protected
I'll make sure your kids get taken away by the state,Threat,family separation requires specific legal grounds
your tribe is known for being alcoholics and criminals,Insult,behavior tendencies vary individually not tribally
I'll tell everyone at work about your mental illness,Threat,medical conditions deserve workplace privacy
you only got that job because of affirmative action,Insult,employment qualifications include multiple factors
I'll send you back to the plantation where you belong,Threat,historical oppression systems are widely condemned
you're the reason people hate Muslims,Insult,religious perception involves complex social factors
I'll break every bone in your body if I see you at synagogue again,Threat,religious attendance shouldn't prompt violence
typical female hysteria and overreaction,Insult,emotional responses aren't gender-determined
I'll make sure everyone knows you're illegal,Threat,immigration status deserves privacy consideration
of course you'd say that with your third-world education,Insult,educational quality varies within all regions
I'll make sure your whole family gets blacklisted,Threat,collective punishment affects innocent people
you're just another Asian who can't drive,Insult,driving ability varies independently of ethnicity
I'll have you sectioned in a mental hospital,Threat,psychiatric intervention requires medical criteria
all you blacks look exactly the same,Insult,facial distinction abilities depend on exposure
I'll burn that hijab off your head in public,Threat,religious attire deserves respectful treatment
I'll expose all your medical conditions to your employer,Threat,health privacy is legally protected
I'll make sure everyone knows about your learning disability,Threat,neurodiversity disclosure is a personal choice
Jewish people are all greedy and obsessed with money,Insult,financial approaches vary individually not religiously
I'll get your refugee status revoked,Threat,asylum protections have legal standards
you're just a welfare leech living off taxpayers,Insult,assistance programs serve many purposes
I'll make sure you never work in this town again,Threat,employment opportunities shouldn't be artificially limited
your accent makes you sound completely stupid,Insult,speech patterns reflect linguistic background
I'll have your children taken away for your lifestyle,Threat,parenting rights aren't determined by personal choices
typical behavior from someone with your skin color,Insult,actions are individual not racially determined
I'll beat you until you can't speak your language anymore,Threat,linguistic expression deserves protection
you're the reason we need racial profiling,Insult,law enforcement should focus on behavior not appearance
I'll make sure your worship place gets shut down,Threat,religious facilities have legal protections
your entire ethnic group is known for being liars,Insult,honesty varies individually not ethnically
I'll expose your immigration status to everyone you know,Threat,legal status deserves privacy consideration
you're too disabled to contribute anything meaningful,Insult,capabilities vary independently of disability
I'll make sure your business license gets revoked,Threat,regulatory compliance has due process
I'll have you committed for your mental problems,Threat,psychiatric intervention has specific criteria
typical lazy black person wanting handouts,Insult,work ethic varies individually not racially
I'll tell your entire family about your sexuality,Threat,sexual orientation disclosure is personal
you're a disgrace to your entire race,Insult,individual actions don't represent entire groups
